,barrio,Con muertos,Choque,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
210,Oleoducto,18.0,796.0,1.0,0.0,33.0,56.0,23.0,0.0,0.0,0.0,32.0,933.0,0.0,0.0,2
211,Oriente,2.0,39.0,0.0,0.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0
212,Pablo VI,2.0,42.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,1.0,0.0,83.0,0.0,0.0,0
213,Pajarito,0.0,84.0,0.0,0.0,23.0,41.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0
214,Palenque,1.0,190.0,3.0,0.0,48.0,33.0,0.0,0.0,1.0,0.0,1.0,207.0,0.0,0.0,0
215,Palermo,2.0,287.0,1.0,34.0,54.0,37.0,9.0,1.0,0.0,0.0,15.0,347.0,0.0,0.0,0
216,Palmitas Sector Central,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
217,Parque Juan Pablo II,11.0,744.0,2.0,73.0,138.0,81.0,0.0,0.0,0.0,0.0,0.0,722.0,0.0,0.0,2
218,Parque Norte,0.0,128.0,0.0,0.0,40.0,14.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0
219,Patio Bonito,6.0,992.0,7.0,5.0,159.0,51.0,7.0,1.0,1.0,0.0,8.0,955.0,0.0,0.0,2
220,Pedregal,6.0,433.0,2.0,9.0,180.0,160.0,0.0,0.0,0.0,0.0,0.0,617.0,0.0,0.0,5
221,Pedregal Alto,0.0,22.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0
222,Pedregal Bajo,0.0,28.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0
223,Perpetuo Socorro,20.0,3963.0,23.0,115.0,1019.0,296.0,76.0,6.0,6.0,2.0,69.0,3446.0,2.0,0.0,3
224,Picachito,0.0,36.0,2.0,0.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0
225,Picacho,2.0,333.0,1.0,0.0,80.0,175.0,0.0,2.0,0.0,0.0,0.0,583.0,0.0,0.0,5
226,Piedras Blancas,2.0,42.0,1.0,0.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0
227,Piedras Blancas Represa,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
228,Playón de Los Comuneros,3.0,207.0,1.0,0.0,64.0,30.0,0.0,0.0,0.0,0.0,1.0,260.0,0.0,0.0,0
229,Plaza de Ferias,2.0,100.0,0.0,0.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0
230,Popular,0.0,205.0,3.0,0.0,35.0,85.0,0.0,0.0,0.0,0.0,0.0,358.0,0.0,0.0,0
231,Potrerito,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
232,Prado,13.0,1721.0,8.0,9.0,908.0,185.0,2.0,2.0,0.0,0.0,0.0,1250.0,0.0,0.0,1
233,Robledo,8.0,600.0,2.0,0.0,153.0,169.0,1.0,0.0,0.0,1.0,0.0,842.0,0.0,0.0,5
234,Rosales,7.0,1377.0,4.0,7.0,542.0,109.0,11.0,5.0,0.0,0.0,1.0,1076.0,0.0,2.0,1
235,San Antonio,0.0,9.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0
236,San Benito,26.0,2522.0,8.0,8.0,549.0,246.0,13.0,11.0,4.0,1.0,13.0,2606.0,1.0,1.0,4
237,San Bernardo,10.0,842.0,4.0,0.0,317.0,109.0,0.0,0.0,0.0,2.0,1.0,839.0,0.0,0.0,2
238,San Diego,11.0,2517.0,6.0,228.0,361.0,297.0,73.0,1.0,1.0,0.0,15.0,2279.0,0.0,0.0,4
239,San Germán,7.0,702.0,8.0,4.0,134.0,63.0,2.0,2.0,1.0,0.0,5.0,774.0,0.0,0.0,2
240,San Isidro,2.0,619.0,5.0,16.0,269.0,146.0,4.0,0.0,0.0,0.0,9.0,682.0,0.0,0.0,5
241,San Javier No.1,4.0,454.0,1.0,44.0,188.0,92.0,1.0,0.0,0.0,0.0,0.0,478.0,0.0,0.0,5
242,San Javier No.2,1.0,174.0,1.0,1.0,64.0,30.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,0
243,San Joaquín,6.0,517.0,1.0,1.0,139.0,43.0,1.0,1.0,0.0,0.0,0.0,471.0,0.0,1.0,5
244,San José de la Montaña,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
245,San José la Cima No. 1,1.0,15.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0
246,San José la Cima No.2,0.0,1.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0
247,San Lucas,1.0,283.0,2.0,7.0,37.0,42.0,0.0,1.0,0.0,0.0,0.0,237.0,0.0,0.0,0
248,San Martín de Porres,0.0,287.0,6.0,0.0,107.0,127.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0
249,San Miguel,3.0,595.0,0.0,0.0,361.0,87.0,0.0,1.0,0.0,0.0,0.0,445.0,0.0,1.0,5
250,San Pablo,0.0,141.0,0.0,0.0,40.0,56.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,0
251,San Pedro,8.0,686.0,5.0,85.0,253.0,65.0,0.0,0.0,0.0,0.0,0.0,574.0,0.0,0.0,5
252,Santa Cruz,3.0,189.0,3.0,2.0,59.0,43.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0
253,Santa Elena Sector Central,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0
254,Santa Fé,22.0,2888.0,18.0,134.0,563.0,279.0,20.0,1.0,1.0,1.0,8.0,2952.0,0.0,0.0,4
255,Santa Inés,3.0,290.0,4.0,2.0,87.0,94.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0
256,Santa Lucía,1.0,177.0,0.0,0.0,63.0,19.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0
257,Santa Margarita,2.0,173.0,1.0,0.0,34.0,66.0,0.0,1.0,1.0,0.0,3.0,254.0,0.0,0.0,0
258,Santa María de los Ángeles,8.0,989.0,8.0,0.0,117.0,100.0,7.0,2.0,1.0,0.0,19.0,1003.0,0.0,0.0,2
259,Santa Mónica,2.0,305.0,1.0,0.0,154.0,42.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0
260,Santa Rosa de Lima,0.0,15.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0
261,Santa Teresita,0.0,281.0,1.0,1.0,131.0,32.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0
262,Santander,9.0,270.0,3.0,0.0,88.0,101.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0
263,Santo Domingo Savio No. 1,3.0,165.0,0.0,0.0,32.0,97.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,1.0,0
264,Santo Domingo Savio No. 2,2.0,42.0,0.0,0.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0
265,Sevilla,8.0,989.0,2.0,70.0,282.0,142.0,0.0,0.0,0.0,0.0,0.0,947.0,0.0,2.0,2
266,Simón Bolívar,2.0,446.0,3.0,20.0,201.0,25.0,0.0,1.0,0.0,0.0,0.0,295.0,0.0,0.0,0
267,Suburbano Aguas Frias,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
268,Suburbano Altavista,1.0,38.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0
269,Suburbano El Llano,1.0,25.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0
270,Suburbano El Plan,0.0,12.0,0.0,0.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0
271,Suburbano La Cuchilla,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
272,Suburbano La Loma,2.0,148.0,0.0,0.0,20.0,39.0,0.0,0.0,0.0,1.0,1.0,220.0,0.0,0.0,0
273,Suburbano Mirador del Poblado,0.0,46.0,0.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0
274,Suburbano Palma Patio,1.0,27.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,0
275,Suburbano Palmitas,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0
276,Suburbano Pedregal alto,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0
277,Suburbano Piedra Gorda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
278,Suburbano Potrerito,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
279,Suburbano Travesias,0.0,40.0,0.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,2.0,64.0,0.0,0.0,0
280,Suburbano el Tesoro,0.0,12.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0
281,Sucre,6.0,478.0,3.0,3.0,197.0,85.0,1.0,0.0,0.0,0.0,4.0,423.0,0.0,0.0,5
282,Suramericana,7.0,1472.0,8.0,0.0,397.0,138.0,0.0,2.0,0.0,1.0,2.0,1330.0,0.0,0.0,1
283,Tejelo,3.0,391.0,2.0,0.0,198.0,110.0,0.0,0.0,0.0,0.0,0.0,489.0,0.0,0.0,5
284,Tenche,6.0,908.0,5.0,0.0,294.0,54.0,2.0,1.0,0.0,1.0,3.0,762.0,0.0,0.0,2
285,Terminal de Transporte,17.0,2171.0,10.0,384.0,187.0,270.0,5.0,60.0,2.0,0.0,16.0,2066.0,0.0,0.0,1
286,Toscana,15.0,861.0,1.0,0.0,70.0,57.0,8.0,9.0,0.0,0.0,14.0,1021.0,0.0,0.0,2
287,Travesías,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
288,Trece de Noviembre,1.0,56.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0
289,Tricentenario,9.0,743.0,4.0,0.0,60.0,78.0,10.0,1.0,0.0,0.0,4.0,908.0,0.0,0.0,2
290,Trinidad,7.0,908.0,5.0,0.0,317.0,77.0,0.0,1.0,0.0,0.0,0.0,869.0,0.0,0.0,2
291,U.D. Atanasio Girardot,0.0,214.0,6.0,1.0,54.0,27.0,0.0,1.0,0.0,0.0,0.0,230.0,0.0,0.0,0
292,U.P.B.,1.0,113.0,0.0,4.0,23.0,14.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0
293,Universidad Nacional,12.0,1399.0,7.0,2.0,175.0,88.0,28.0,11.0,3.0,0.0,48.0,1488.0,0.0,0.0,1
294,Universidad de Antioquia,8.0,676.0,5.0,2.0,73.0,74.0,8.0,2.0,0.0,0.0,16.0,844.0,0.0,0.0,5
295,Veinte de Julio,7.0,201.0,2.0,0.0,63.0,49.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0
296,Versalles No. 1,2.0,233.0,2.0,0.0,69.0,83.0,0.0,0.0,0.0,0.0,0.0,407.0,0.0,0.0,0
